Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleisnummer;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;GO_IPID;Didok-Nummer;IPID;FID;1_koord;2_koord;BPUIC;lod
850;122.772;AD;Aadorf;Mittelperron;1/2;;100.03;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1173383;6013;3838280;35350312;47.4874356114, 8.90467276606;47.48789341313407, 8.903533762064871;8506013;http://lod.opentransportdata.swiss/didok/8506013
650;41.28;AA;Aarau;Mittelperron;4/5;4;428.59;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;974420;2113;1530205;35375585;47.3918582764, 8.05419012381;47.39041423168691, 8.048927807561633;8502113;http://lod.opentransportdata.swiss/didok/8502113
100;39.138;AIG;Aigle;Mittelperron;2/3;3;325.34;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;1672377;1400;3428903;35312494;46.3182665896, 6.96267298868;46.315517914553986, 6.964119423607235;8501400;http://lod.opentransportdata.swiss/didok/8501400
100;39.464;AIG;Aigle;Mittelperron;2/3;3;75.37;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1672377;1400;3428905;35330900;46.3155179146, 6.96411942361;46.314884574397404, 6.964468315629288;8501400;http://lod.opentransportdata.swiss/didok/8501400
850;103.341;ALG;Algetshausen-Henau;Aussenperron;1;;211.84;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1158708;6220;1140727;35345077;47.4491746632, 9.10886306755;47.44792148787577, 9.110973337704488;8506220;http://lod.opentransportdata.swiss/didok/8506220
720;37.02;ALTD;Altendorf;;;2;322.4;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;;3211;15892335;299085831;47.1943267328, 8.82087338233;47.19383554626427, 8.825066255849235;8503211;http://lod.opentransportdata.swiss/didok/8503211
880;41.018;ALT;Altstatten SG;Hausperron;1;1;53.07;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1308423;6319;3838389;35374419;47.3728942555, 9.55573804062;47.3733332113033, 9.556014107214969;8506319;http://lod.opentransportdata.swiss/didok/8506319
880;41.045;ALT;Altstatten SG;Mittelperron;2/3;3;305.24;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;4067027;6319;3838385;35326282;47.373072128, 9.55603286971;47.37558088795822, 9.557666916101756;8506319;http://lod.opentransportdata.swiss/didok/8506319
600;92.982;AP;Ambri-Piotta;Mittelperron;2/3;3;249.2;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;1412999;5202;1412995;35329936;46.511030755, 8.68919526048;46.51042367587153, 8.692320442908226;8505202;http://lod.opentransportdata.swiss/didok/8505202
600;92.982;AP;Ambri-Piotta;Mittelperron;2/3;2;248.71;P 20;;vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;1412999;5202;1412996;35362287;46.510983891, 8.68918135604;46.510397509237976, 8.692308578633872;8505202;http://lod.opentransportdata.swiss/didok/8505202
